Id,SalePrice
2658,137378.23897119687
2718,177626.33052335866
2414,164249.85321913636
1989,128500.04241640848
625,182976.6918429918
333,97502.14015903404
1327,115921.52267537372
858,157458.39643347258
95,203324.3939296195
1568,156895.69871905245
2482,181870.0744736427
1364,137308.8469512341
2584,164844.30148190897
818,292814.83035966445
2673,159206.94072736902
2089,121217.93144105042
1297,150201.98288307266
790,129924.40975434524
2616,175781.83839903338
720,211393.11890666693
222,129921.0634838665
557,121157.0125648281
1148,222750.83202197036
2766,134302.29895797904
534,195965.60496789904
1452,115765.67217353216
630,128524.71685242499
2648,156781.4191606104
125,141239.1114594007
1904,69977.240692999
1670,121224.30134234746
756,116483.91850381726
717,299125.3273219763
1032,159787.56465714422
852,229463.58938383585
1731,150647.45555691925
2639,117465.12689159164
2071,90544.68467587078
1267,98614.15310403814
1851,214953.4559130289
567,139422.256650973
2439,219989.02604774132
1898,157625.34858486155
647,141501.6683085591
2256,226990.97829476924
979,98718.91420469135
1444,217848.7498707499
2485,117804.14950333943
157,119783.4704884984
88,127053.03060916805
2003,125027.46437839864
186,233314.70657546958
1425,270354.3890259677
2695,133605.45723452774
738,110668.97164897966
395,140533.61884247436
1353,180461.37259299215
1878,139347.08386456151
390,165400.75058850495
1456,238661.80638624157
1103,303816.5823544946
1387,139144.69574233703
2070,134255.66306241613
1199,178442.5551886537
2479,179491.71658054178
501,308459.2968718099
2362,94952.37756323357
1718,198916.26898027633
2188,75161.78936310139
1483,124214.25768474395
2557,86396.56463466374
437,372122.99078968086
2224,171435.67949205294
1628,148105.4623899655
397,139961.23385390794
587,199238.96410436727
2182,611404.1168029815
971,150480.1267210287
2611,146526.6948869885
1887,95657.94508524638
2399,360105.9637184574
2148,223013.22392418352
304,130271.7945517542
1997,129309.54010049139
2817,132934.0684328352
1431,167544.97373236428
427,401018.2398240295
263,115557.97372364235
598,174283.5779764659
2895,251326.94100361018
687,153578.9425883725
1822,124280.79792948205
2191,103973.8694734382
179,139876.6121381222
1009,201000.26034059667
2010,119196.08901101098
1991,148772.39839488815
1411,157228.25043192343
1721,251014.0112776489
1144,195150.12188342705
593,205575.3036883872
575,295830.3785048305
1249,171779.21280079245
1604,115795.05060834135
1064,473968.90227873914
1923,152158.6603353619
1988,90219.03213320201
2325,154871.7584920577
114,193578.83511156397
2700,174626.53441145096
217,99885.40804610535
343,167461.82086347765
386,244592.30840293283
2005,114570.99875033557
2908,130202.54528738183
1814,225848.14756966865
2446,499142.60337841
208,171746.94396579437
1679,117912.05201869676
822,351959.7070503274
6,169228.57125132572
1781,417564.69532184687
2397,281291.5559179252
2340,296574.4503146199
1618,153708.09717587093
2843,151583.18493173874
1061,371235.1048478144
2786,113255.40169490325
1935,123986.46052515779
1341,112146.98072397264
